"Parlamentar";"Cargo_Legislativo";"Partido";"UF";"Genero";"MesaDiretora"
"Abigail Feitosa";"Deputado";"PMDB";"BA";"Mulher";"Sem cargo"
"Acival Gomes";"Deputado";"PMDB";"SE";"Homem";"Sem cargo"
"Adauto Pereira";"Deputado";"PDS";"PB";"Homem";"Sem cargo"
"Ademir Andrade";"Deputado";"PMDB";"PA";"Homem";"Sem cargo"
"Adhemar De Barros Filho";"Deputado";"PDT";"SP";"Homem";"Sem cargo"
"Adolfo Oliveira";"Deputado";"PL";"RJ";"Homem";"Sem cargo"
"Adroaldo Streck";"Deputado";"PDT";"RS";"Homem";"Sem cargo"
"Adylson Motta";"Deputado";"PDS";"RS";"Homem";"Sem cargo"
"Aécio De Borda";"Deputado";"PDS";"CE";"Homem";"Sem cargo"
"Aécio Neves";"Deputado";"PMDB";"MG";"Homem";"Sem cargo"
"Afif Domingos";"Deputado";"PL";"SP";"Homem";"Sem cargo"
"Agassiz Almeida";"Deputado";"PMDB";"PB";"Homem";"Sem cargo"
"Agripino De Oliveira Lima";"Deputado";"PFL";"SP";"Homem";"Sem cargo"
"Airton Cordeiro";"Deputado";"PDT";"PR";"Homem";"Sem cargo"
"Airton Sandoval";"Deputado";"PMDB";"SP";"Homem";"Sem cargo"
"Alair Ferreira";"Deputado";"PFL";"RJ";"Homem";"Sem cargo"
"Alarico Abib";"Deputado";"PMDB";"PR";"Homem";"Sem cargo"
"Albérico Cordeiro";"Deputado";"PFL";"AL";"Homem";"Sem cargo"
"Albérico Filho";"Deputado";"PMDB";"MA";"Homem";"Sem cargo"
"Alceni Guerra";"Deputado";"PFL";"PR";"Homem";"Sem cargo"
"Alcides Saldanha";"Deputado";"PMDB";"RS";"Homem";"Sem cargo"
"Aldo Arantes";"Deputado";"PMDB";"GO";"Homem";"Sem cargo"
"Alércio Dias";"Deputado";"PFL";"AC";"Homem";"Sem cargo"
"Alexandre Puzyna";"Deputado";"PMDB";"SC";"Homem";"Sem cargo"
"Aloísio Vasconcelos";"Deputado";"PMDB";"MG";"Homem";"Sem cargo"
"Aloysio Chaves";"Deputado";"PFL";"PA";"Homem";"Sem cargo"
"Aloysio Teixeira";"Deputado";"PMDB";"RJ";"Homem";"Sem cargo"
"Aluízio Campos";"Deputado";"PMDB";"PB";"Homem";"Sem cargo"
"Alvaro Antonio";"Deputado";"PMDB";"MG";"Homem";"Sem cargo"
"Álvaro Valle";"Deputado";"PL";"RJ";"Homem";"Sem cargo"
"Alysson Paulinelli";"Deputado";"PFL";"MG";"Homem";"Sem cargo"
"Amaral Netto";"Deputado";"PDS";"RJ";"Homem";"Sem cargo"
"Amaury Muller";"Deputado";"PDT";"RS";"Homem";"Sem cargo"
"Amilcar Moreira";"Deputado";"PMDB";"PA";"Homem";"Sem cargo"
"Ângelo Magalhães";"Deputado";"PFL";"BA";"Homem";"Sem cargo"
"Anna Maria Rattes";"Deputado";"PMDB";"RJ";"Mulher";"Sem cargo"
"Annibal Barcellos";"Deputado";"PFL";"AP";"Homem";"Sem cargo"
"Antero De Barros";"Deputado";"PMDB";"MT";"Homem";"Sem cargo"
"Antônio Britto";"Deputado";"PMDB";"RS";"Homem";"Sem cargo"
"Antônio Câmara";"Deputado";"PMDB";"RN";"Homem";"Sem cargo"
"Antônio Carlos Franco";"Deputado";"PMDB";"SE";"Homem";"Sem cargo"
"Antônio Carlos Konder Reis";"Deputado";"PDS";"SC";"Homem";"Sem cargo"
"Antonio Carlos Mendes Thame";"Deputado";"PFL";"SP";"Homem";"Sem cargo"
"Antônio De Jesus";"Deputado";"PMDB";"GO";"Homem";"Sem cargo"
"Antonio Ferreira";"Deputado";"PFL";"AL";"Homem";"Sem cargo"
"Antônio Gaspar";"Deputado";"PMDB";"MA";"Homem";"Sem cargo"
"Antonio Mariz";"Deputado";"PMDB";"PB";"Homem";"Sem cargo"
